species,sci,url,license,attribution,file
moose,Alces alces,https://inaturalist-open-data.s3.amazonaws.com/photos/130296407/medium.jpeg,cc0,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\moose\130296407.jpg
moose,Alces alces,https://inaturalist-open-data.s3.amazonaws.com/photos/64561076/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\moose\64561076.jpg
wapiti,Cervus canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/45645557/medium.jpeg,cc0,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\wapiti\45645557.jpg
wapiti,Cervus canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/620108581/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\wapiti\620108581.jpg
bobcat,Lynx rufus,https://inaturalist-open-data.s3.amazonaws.com/photos/173346592/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\bobcat\173346592.jpg
bobcat,Lynx rufus,https://inaturalist-open-data.s3.amazonaws.com/photos/433611472/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\bobcat\433611472.jpg
gray wolf,Canis lupus,https://inaturalist-open-data.s3.amazonaws.com/photos/23278623/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\gray wolf\23278623.jpg
gray wolf,Canis lupus,https://inaturalist-open-data.s3.amazonaws.com/photos/348465923/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\gray wolf\348465923.jpg
american beaver,Castor canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/146045518/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american beaver\146045518.jpg
american beaver,Castor canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/357069426/medium.jpg,cc0,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american beaver\357069426.jpg
north american river otter,Lontra canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/170264896/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\north american river otter\170264896.jpg
north american river otter,Lontra canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/135647346/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\north american river otter\135647346.jpg
american robin,Turdus migratorius,https://inaturalist-open-data.s3.amazonaws.com/photos/375294029/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american robin\375294029.jpg
american robin,Turdus migratorius,https://inaturalist-open-data.s3.amazonaws.com/photos/534492452/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american robin\534492452.jpg
northern cardinal,Cardinalis cardinalis,https://inaturalist-open-data.s3.amazonaws.com/photos/183928111/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\northern cardinal\183928111.jpg
northern cardinal,Cardinalis cardinalis,https://inaturalist-open-data.s3.amazonaws.com/photos/676877382/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\northern cardinal\676877382.jpg
blue jay,Cyanocitta cristata,https://inaturalist-open-data.s3.amazonaws.com/photos/414419714/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\blue jay\414419714.jpg
blue jay,Cyanocitta cristata,https://inaturalist-open-data.s3.amazonaws.com/photos/360431054/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\blue jay\360431054.jpg
red-tailed hawk,Buteo jamaicensis,https://inaturalist-open-data.s3.amazonaws.com/photos/722847360/medium.jpg,cc-by-sa,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\red-tailed hawk\722847360.jpg
red-tailed hawk,Buteo jamaicensis,https://inaturalist-open-data.s3.amazonaws.com/photos/62555113/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\red-tailed hawk\62555113.jpg
turkey vulture,Cathartes aura,https://inaturalist-open-data.s3.amazonaws.com/photos/5105997/medium.jpeg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\turkey vulture\5105997.jpg
turkey vulture,Cathartes aura,https://inaturalist-open-data.s3.amazonaws.com/photos/682153900/medium.jpg,cc0,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\turkey vulture\682153900.jpg
downy woodpecker,Dryobates pubescens,https://inaturalist-open-data.s3.amazonaws.com/photos/624993424/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\downy woodpecker\624993424.jpg
downy woodpecker,Dryobates pubescens,https://inaturalist-open-data.s3.amazonaws.com/photos/613963750/medium.jpg,cc0,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\downy woodpecker\613963750.jpg
great horned owl,Bubo virginianus,https://inaturalist-open-data.s3.amazonaws.com/photos/718349621/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\great horned owl\718349621.jpg
great horned owl,Bubo virginianus,https://inaturalist-open-data.s3.amazonaws.com/photos/456435232/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\great horned owl\456435232.jpg
american goldfinch,Spinus tristis,https://inaturalist-open-data.s3.amazonaws.com/photos/509417183/medium.jpg,cc-by,,C:\Users\heath\OneDrive\Desktop\aurora-lora\prevalence\exam-iphone13\photos\american goldfinch\509417183.jpg
